t,VarX_0.003,meanX_0.003,VarX_0.01,meanX_0.01,VarX_0.03,meanX_0.03,VarX_0.1,meanX_0.1,VarA1,meanA1
36,5.61824017981013e-09,-4.48838254111739e-10,6.2596171706774e-08,-3.00425429547158e-09,5.68188848196675e-07,-1.86537800672609e-08,6.50570308086016e-06,-1.24602614700487e-07,0.00062340355732576,-9.68054252700031e-08
37,5.84493802405736e-09,1.01944737850821e-10,6.51321444198989e-08,-1.28688767502018e-09,5.91417372581299e-07,-1.68344678452862e-08,6.77577496878802e-06,-1.31442458369988e-07,0.000648535801693325,9.05511069943697e-08
38,6.0718402791059e-09,-2.979897620086e-09,6.76620300056592e-08,-1.17555060941738e-08,6.14454857131972e-07,-4.89990851079766e-08,7.04523245533798e-06,-2.23852780872218e-07,0.000673738591550599,-9.40807857262109e-07
39,6.30096039332605e-09,-3.51762686556017e-09,7.02119480038741e-08,-1.36518528261389e-08,6.37513067581403e-07,-5.64165307552052e-08,7.30489046751173e-06,-2.56573308328213e-07,0.000699177233459181,-1.11318628131099e-06
40,6.50197874857408e-09,-4.13447449966881e-09,7.2464468586532e-08,-1.57933114743739e-08,6.58164465646272e-07,-6.35091749783441e-08,7.55151528783596e-06,-2.80050288097789e-07,0.000721443934997768,-1.31231804693391e-06
41,6.70308376552332e-09,-2.26730634116024e-09,7.46938218949959e-08,-9.38023523617812e-09,6.78123429458543e-07,-4.41780618724012e-08,7.76551753156098e-06,-2.38153089622011e-07,0.000743802401689272,-7.12920825174868e-07
42,6.9272229069218e-09,1.82652562529271e-10,7.71895708735301e-08,-1.29808884520898e-09,7.00602481634701e-07,-2.04429222615714e-08,8.01658570778189e-06,-1.40840826287049e-07,0.000768684210120947,1.09942955802523e-07
43,7.14867968688884e-09,2.4527254698984e-09,7.96534240779821e-08,6.38796630051513e-09,7.2279605451892e-07,3.09040024697221e-09,8.27208321245222e-06,-5.83262961252072e-08,0.00079325466261619,8.62651368932767e-07
44,7.34751026676011e-09,4.88188265973911e-09,8.18632290166128e-08,1.43124174135764e-08,7.42982851763317e-07,2.44187566276661e-08,8.5135109589299e-06,-4.73130755753803e-09,0.000815325741737792,1.67328458061371e-06
45,7.55663415040807e-09,5.7966755258022e-09,8.41934173244164e-08,1.73579321233521e-08,7.6406129058449e-07,3.36200889559834e-08,8.74719631310654e-06,6.94674064515561e-09,0.000838533475455599,1.97618262479319e-06
