t,VarX_0.1,meanX_0.1,VarX_0.3,meanX_0.3,VarX_1,meanX_1,VarX_3,meanX_3,VarA1,meanA1
25,1.37720261545529e-05,-6.20937407019933e-07,0.000129913081783287,-2.25852626320539e-06,0.00169952793172539,-1.27044035337281e-05,0.0215442537471415,-8.7675102777454e-06,0.00134485765871062,-5.55411203675686e-06
26,1.43836899715817e-05,-8.62643316282815e-07,0.000135565410123751,-3.08191657428063e-06,0.00178060992651928,-1.55330533359671e-05,0.022633828199962,-2.15101017243883e-05,0.00140515135552554,-7.7536045077101e-06
27,1.4965148997142e-05,-1.19306174721368e-06,0.000141053500145519,-4.16257982072881e-06,0.00185717269395204,-1.83661672209768e-05,0.0237828692886888,-2.6091531265198e-05,0.00146205577043829,-1.07579681302136e-05
28,1.55558423641741e-05,-1.44514139852841e-06,0.000146647046565515,-4.84272846904541e-06,0.00193281357678437,-1.90630601839732e-05,0.0249731856383752,-3.15720538939232e-05,0.00151977192596177,-1.32372797912275e-05
29,1.61436027225027e-05,-1.3568623903663e-06,0.000152351202438302,-4.4923518743315e-06,0.00201117191272521,-1.78143407920409e-05,0.0262134386680812,-2.81702532284811e-05,0.00157658949216091,-1.24862281541103e-05
30,1.67634722934902e-05,-1.30169976653571e-06,0.000158257267281358,-4.22685306035314e-06,0.00209013583275197,-1.58059489355584e-05,0.0274043521573187,-1.50658392193968e-05,0.00163658273232471,-1.20522097092499e-05
31,1.73799605645001e-05,-1.50809206477529e-06,0.000164064709248377,-4.7961597302853e-06,0.00216661125658258,-1.84824598262069e-05,0.0285524502535177,-2.0352235421912e-05,0.00169653136836778,-1.4112001525791e-05
32,1.79805703030978e-05,-1.33845532782453e-06,0.00016973007286024,-4.15279889298369e-06,0.00224918662208819,-1.57577422876427e-05,0.0297416522160385,-4.52805326878364e-06,0.00175500237676017,-1.26133874233819e-05
33,1.85466741590868e-05,-1.38801847476613e-06,0.00017522808895473,-4.41446742794222e-06,0.0023328969769341,-1.72155967321728e-05,0.0308595212822197,7.33177950309221e-06,0.00180985955328213,-1.30073785930649e-05
34,1.91796154441945e-05,-1.69503796409701e-06,0.000181184332901804,-5.44169478015681e-06,0.00241174329172527,-2.12718877600702e-05,0.0319693247175644,3.63172215935759e-06,0.00187201751640078,-1.59434675307264e-05
